dataset,task,family,rows,features,signature,best_model,best,first_model,first,top4,boosting,tuned,tabpfn,eligible_mean,eligible_worst,best_ruled_out,best_ruled_out_model,ruled_out_why,n_eligible,n_ruled_out,regret_first,regret_top4,regret_boosting,regret_eligible_mean
churn,classification,churn,5000,20,A11 A21 A38 A41 A52 A61,EN3,0.8558,TR3,0.7865,0.8558,0.8552,0.8661,,0.7322,0.5831,,,,17,0,0.0693,0.0,0.0005,0.1236
coil2000,classification,coil2000,5000,85,A11 A21 A38 A41 A52 A61,NN2,0.5594,TR3,0.5357,0.5528,0.5376,0.5367,,0.5219,0.4999,,,,17,0,0.0237,0.0065,0.0218,0.0375
collins,classification,collins,485,23,A11 A21 A38 A41 A51 A61,PR1,1.0,TR3,0.9927,0.9927,0.971,0.9822,,0.8048,0.2462,,,,17,0,0.0073,0.0073,0.029,0.1952
congressional_voting_records,classification,congressional_voting_records,435,16,A11 A21 A32 A41 A51 A61,EN1,0.96,TR3,0.9544,0.9544,0.9513,0.9525,0.955,0.9523,0.9419,0.9582,LM2,needs A31 data (yours is A32),13,4,0.0056,0.0056,0.0087,0.0077
contraceptive_method,classification,contraceptive_method,1473,9,A11 A21 A38 A41 A51 A61,EN7,0.5252,TR3,0.4639,0.4925,0.4863,0.4894,,0.484,0.4106,,,,17,0,0.0613,0.0327,0.0389,0.0413
credit_approval_australia,classification,credit_approval_australia,690,15,A11 A21 A38 A41 A51 A62,TR2,0.8732,TR3,0.8624,0.8732,0.8594,0.8648,0.8696,0.8509,0.8136,,,,17,0,0.0107,0.0,0.0138,0.0223
credit_approval_germany,classification,credit_approval_germany,1000,20,A11 A21 A38 A41 A51 A61,PR1,0.7086,TR3,0.6698,0.6883,0.6688,0.6757,0.6731,0.6637,0.6167,,,,17,0,0.0388,0.0202,0.0398,0.0448
dermatology,classification,dermatology,366,34,A11 A21 A38 A41 A51 A61,EN7,0.9769,TR3,0.9729,0.9729,0.9588,0.9607,,0.931,0.5539,,,,17,0,0.0041,0.0041,0.0181,0.0459
dis,classification,thyroid_garvan,3772,29,A11 A21 A38 A41 A52 A61,EN4,0.7416,TR3,0.5255,0.7416,0.732,0.7595,,0.5739,0.4999,,,,17,0,0.2161,0.0,0.0096,0.1677
ecoli,classification,ecoli,327,7,A11 A21 A31 A41 A51 A61,DR4,0.8493,TR3,0.813,0.8283,0.8047,0.7835,0.7701,0.7984,0.6454,,,,17,0,0.0363,0.0211,0.0446,0.0509
first_principles_supernovae_zg,regression,first_principles_supernovae_zg,243,1,A11 A21 A31 A41 A54 A61,TR3,0.9996,EN2,0.9992,0.9996,0.9443,0.998,,0.7345,-0.0091,,,,19,0,0.0005,0.0,0.0553,0.2651
